iter	MAE
0	59.34258246
1	57.67770105
2	56.05854957
3	54.55947722
4	53.05873653
5	51.49771677
6	50.00229074
7	48.62124682
8	47.2731418
9	45.98762769
10	44.70774521
11	43.48915757
12	42.27902228
13	41.12821608
14	40.02401128
15	38.9340434
16	37.84502805
17	36.81749604
18	35.8502099
19	34.89681028
20	33.94864939
21	33.02583615
22	32.13109527
23	31.27200461
24	30.4460936
25	29.62361091
26	28.82490482
27	28.03708265
28	27.26829496
29	26.52416442
30	25.81815415
31	25.12504643
32	24.45019318
33	23.82998386
34	23.19755334
35	22.57261516
36	21.96329883
37	21.37794871
38	20.79993385
39	20.2496651
40	19.71537253
41	19.18820908
42	18.65998369
43	18.17110517
44	17.68749414
45	17.21960611
46	16.76573144
47	16.32804886
48	15.90132615
49	15.48182865
50	15.08091761
51	14.69286325
52	14.31285145
53	13.95013614
54	13.5950808
55	13.24800356
56	12.9099498
57	12.58120778
58	12.25774444
59	11.94911936
60	11.64769771
61	11.3568976
62	11.07322746
63	10.79816234
64	10.53414898
65	10.27396902
66	10.03653846
67	9.794690287
68	9.577629165
69	9.349139027
70	9.125590631
71	8.906745093
72	8.692308458
73	8.487307036
74	8.283782383
75	8.087008554
76	7.893602659
77	7.707755421
78	7.528459945
79	7.375659954
80	7.20470215
81	7.039622508
82	6.878417221
83	6.726709873
84	6.573803395
85	6.426096303
86	6.30514236
87	6.187512595
88	6.052863407
89	5.948922431
90	5.820381595
91	5.707368521
92	5.585021537
93	5.467214611
94	5.353773008
95	5.244550773
96	5.154505631
97	5.059137081
98	4.95566296
99	4.854513334
100	4.767422302
101	4.682890516
102	4.607314318
103	4.518630452
104	4.44281281
105	4.375820903
106	4.307732803
107	4.232132822
108	4.157418905
109	4.083986199
110	4.011999576
111	3.950282707
112	3.880816496
113	3.822113815
114	3.758995733
115	3.709853693
116	3.649987386
117	3.603206959
118	3.553193309
119	3.494291722
120	3.447912182
121	3.402405339
122	3.348983678
123	3.305130418
124	3.256116033
125	3.207631328
126	3.159648892
127	3.116753733
128	3.074213979
129	3.031752226
130	2.998192226
131	2.963197724
132	2.923457728
133	2.892576957
134	2.856376409
135	2.825731331
136	2.796416366
137	2.767724297
138	2.743880122
139	2.712168993
140	2.679635797
141	2.654367288
142	2.629058182
143	2.606208109
144	2.584218822
145	2.559065221
146	2.535450545
147	2.509016405
148	2.487018585
149	2.463726166
150	2.445234969
151	2.425417166
152	2.40843993
153	2.391668398
154	2.376012321
155	2.359653649
156	2.339917822
157	2.320992712
158	2.304321949
159	2.289490798
160	2.27527668
161	2.262771976
162	2.250223411
163	2.23529778
164	2.22257431
165	2.209762433
166	2.196576261
167	2.18624926
168	2.175149194
169	2.164182582
170	2.14910834
171	2.140081763
172	2.130310214
173	2.116396963
174	2.107556679
175	2.098515768
176	2.089391391
177	2.077625776
178	2.067288835
179	2.054366896
180	2.046377456
181	2.034101191
182	2.025961741
183	2.01917954
184	2.010607743
185	1.999740089
186	1.988515867
187	1.982102376
188	1.973790415
189	1.965893602
190	1.955784059
191	1.948232091
192	1.93919318
193	1.929607118
194	1.920588836
195	1.915362823
196	1.909400758
197	1.902548441
198	1.89584897
199	1.889600431
200	1.883090127
201	1.878250851
202	1.873902831
203	1.866832765
204	1.859852735
205	1.854161319
206	1.849674986
207	1.843050292
208	1.837783646
209	1.831886475
210	1.825398865
211	1.820715763
212	1.814129287
213	1.810667677
214	1.80394742
215	1.800269876
216	1.794886628
217	1.789900749
218	1.785242238
219	1.780266545
220	1.776709252
221	1.770533062
222	1.76506401
223	1.760019912
224	1.755761879
225	1.751060141
226	1.747426434
227	1.742810754
228	1.738535497
229	1.734900069
230	1.73037431
231	1.724876411
232	1.722252575
233	1.719255208
234	1.714647525
235	1.710889478
236	1.70662618
237	1.702490996
238	1.69880262
239	1.696667725
240	1.693443952
241	1.691137094
242	1.687008355
243	1.684263212
244	1.680942266
245	1.677541162
246	1.674465733
247	1.671151125
248	1.668480046
249	1.665929602
250	1.66260707
251	1.659979777
252	1.657595602
253	1.655271578
254	1.652245913
255	1.649677919
256	1.647585634
